ROOM_NUM,ROOM_NAME,FLOR_NUM,BULD_NAME,ROOM_TYP
0,A001,0,A,Type 3
1,A002,0,A,Type 2
2,A003,0,A,Type 3
3,A004,0,A,Type 4
4,A005,0,A,Type 1
5,A006,0,A,Type 2
6,A007,0,A,Type 2
7,A008,0,A,Type 2
8,A009,0,A,Type 2
9,A010,0,A,Type 2
10,A101,1,A,Type 2
11,A102,1,A,Type 3
12,A103,1,A,Type 4
13,A104,1,A,Type 3
14,A105,1,A,Type 2
15,A106,1,A,Type 3
16,A107,1,A,Type 2
17,A108,1,A,Type 2
18,A109,1,A,Type 2
19,A110,1,A,Type 1
20,A111,1,A,Type 1
21,A112,1,A,Type 2
22,A113,1,A,Type 3
23,A114,1,A,Type 1
24,A115,1,A,Type 2
25,A116,1,A,Type 1
26,A117,1,A,Type 1
27,A118,1,A,Type 2
28,A119,1,A,Type 1
29,A120,1,A,Type 3
30,A121,1,A,Type 3
31,A122,1,A,Type 1
32,A123,1,A,Type 2
33,A124,1,A,Type 3
34,A125,1,A,Type 3
35,A126,1,A,Type 1
36,A127,1,A,Type 2
37,A128,1,A,Type 2
38,A129,1,A,Type 2
39,A130,1,A,Type 1
40,A131,1,A,Type 4
41,A132,1,A,Type 3
42,A133,1,A,Type 1
43,A134,1,A,Type 1
44,A135,1,A,Type 1
45,A136,1,A,Type 3
46,A137,1,A,Type 4
47,A138,1,A,Type 1
48,A139,1,A,Type 1
49,A140,1,A,Type 1
50,A141,1,A,Type 1
51,A142,1,A,Type 4
52,A143,1,A,Type 3
53,A144,1,A,Type 1
54,A145,1,A,Type 3
55,A146,1,A,Type 1
56,A147,1,A,Type 2
57,A148,1,A,Type 3
58,A149,1,A,Type 1
59,A150,1,A,Type 2
60,A201,2,A,Type 1
61,A202,2,A,Type 2
62,A203,2,A,Type 3
63,A204,2,A,Type 1
64,A205,2,A,Type 1
65,A206,2,A,Type 2
66,A207,2,A,Type 2
67,A208,2,A,Type 1
68,A209,2,A,Type 1
69,A210,2,A,Type 3
70,A211,2,A,Type 1
71,A212,2,A,Type 1
72,A213,2,A,Type 1
73,A214,2,A,Type 2
74,A215,2,A,Type 2
75,A216,2,A,Type 3
76,A217,2,A,Type 2
77,A218,2,A,Type 1
78,A219,2,A,Type 1
79,A220,2,A,Type 2
80,A221,2,A,Type 4
81,A222,2,A,Type 3
82,A223,2,A,Type 2
83,A224,2,A,Type 2
84,A225,2,A,Type 2
85,A226,2,A,Type 2
86,A227,2,A,Type 1
87,A228,2,A,Type 1
88,A229,2,A,Type 3
89,A230,2,A,Type 1
90,A231,2,A,Type 2
91,A232,2,A,Type 1
92,A233,2,A,Type 2
93,A234,2,A,Type 1
94,A235,2,A,Type 1
95,A236,2,A,Type 2
96,A237,2,A,Type 3
97,A238,2,A,Type 3
98,A239,2,A,Type 4
99,A240,2,A,Type 2
100,B001,0,B,Type 1
101,B002,0,B,Type 1
102,B003,0,B,Type 2
103,B004,0,B,Type 2
104,B005,0,B,Type 3
105,B006,0,B,Type 3
106,B007,0,B,Type 2
107,B008,0,B,Type 3
108,B009,0,B,Type 4
109,B010,0,B,Type 2
110,B011,0,B,Type 1
111,B012,0,B,Type 2
112,B013,0,B,Type 1
113,B014,0,B,Type 2
114,B015,0,B,Type 2
115,B016,0,B,Type 3
116,B017,0,B,Type 1
117,B018,0,B,Type 1
118,B019,0,B,Type 4
119,B020,0,B,Type 1
120,B101,1,B,Type 1
121,B102,1,B,Type 1
122,B103,1,B,Type 2
123,B104,1,B,Type 3
124,B105,1,B,Type 1
125,B106,1,B,Type 1
126,B107,1,B,Type 4
127,B108,1,B,Type 2
